date, Population, Annual Growth Rate
1950-12-31,84353049
1951-12-31,85683474,1.58
1952-12-31,86921764,1.45
1953-12-31,88057140,1.31
1954-12-31,89093019,1.18
1955-12-31,90090281,1.12
1956-12-31,91021560,1.03
1957-12-31,91837665,0.9
1958-12-31,92671295,0.91
1959-12-31,93575985,0.98
1960-12-31,94464839,0.95
1961-12-31,95355458,0.94
1962-12-31,96267883,0.96
1963-12-31,97246712,1.02
1964-12-31,98319344,1.1
1965-12-31,99468746,1.17
1966-12-31,100466907,1
1967-12-31,101527852,1.06
1968-12-31,102819279,1.27
1969-12-31,104102077,1.25
1970-12-31,105416839,1.26
1971-12-31,106789355,1.3
1972-12-31,108220404,1.34
1973-12-31,109679470,1.35
1974-12-31,111100023,1.3
1975-12-31,112411640,1.18
1976-12-31,113624865,1.08
1977-12-31,114761516,1
1978-12-31,115809525,0.91
1979-12-31,116765509,0.83
1980-12-31,117624196,0.74
1981-12-31,118385723,0.65
1982-12-31,119098142,0.6
1983-12-31,119793752,0.58
1984-12-31,120470727,0.57
1985-12-31,121119031,0.54
1986-12-31,121710305,0.49
1987-12-31,122268885,0.46
1988-12-31,122798302,0.43
1989-12-31,123270648,0.38
1990-12-31,123686321,0.34
1991-12-31,124073993,0.31
1992-12-31,124444693,0.3
1993-12-31,124779576,0.27
1994-12-31,125119269,0.27
1995-12-31,125433969,0.25
1996-12-31,125726223,0.23
1997-12-31,126027985,0.24
1998-12-31,126308390,0.22
1999-12-31,126555063,0.2
2000-12-31,126803861,0.2
2001-12-31,127065731,0.21
2002-12-31,127301750,0.19
2003-12-31,127502352,0.16
2004-12-31,127671288,0.13
2005-12-31,127798373,0.1
2006-12-31,127902167,0.08
2007-12-31,128006426,0.08
2008-12-31,128077633,0.06
2009-12-31,128117042,0.03
2010-12-31,128105431,-0.01
2011-12-31,128007257,-0.08
2012-12-31,127853688,-0.12
2013-12-31,127678924,-0.14
2014-12-31,127476735,-0.16
2015-12-31,127250933,-0.18
2016-12-31,126993857,-0.2
2017-12-31,126662472,-0.26
2018-12-31,126255866,-0.32
2019-12-31,125791677,-0.37
2020-12-31,125244761,-0.43
2021-12-31,124612530,-0.5
2022-12-31,123951692,-0.53
2023-12-31,123294513,-0.53
2024-12-31,122631432,-0.54
2025-12-31,121960408,-0.55
2026-12-31,121282488,-0.56
2027-12-31,120600599,-0.56
2028-12-31,119912238,-0.57
2029-12-31,119217097,-0.58
2030-12-31,118514802,-0.59
2031-12-31,117805680,-0.6
2032-12-31,117090083,-0.61
2033-12-31,116368193,-0.62
2034-12-31,115641077,-0.62
2035-12-31,114907058,-0.63
2036-12-31,114164955,-0.65
2037-12-31,113416742,-0.66
2038-12-31,112664566,-0.66
2039-12-31,111910716,-0.67
2040-12-31,111157201,-0.67
2041-12-31,110405207,-0.68
2042-12-31,109654640,-0.68
2043-12-31,108903960,-0.68
2044-12-31,108155545,-0.69
2045-12-31,107412293,-0.69
2046-12-31,106674353,-0.69
2047-12-31,105942538,-0.69
2048-12-31,105216618,-0.69
2049-12-31,104497283,-0.68
2050-12-31,103784357,-0.68
2051-12-31,103076686,-0.68
2052-12-31,102373741,-0.68
2053-12-31,101672959,-0.68
2054-12-31,100969712,-0.69
2055-12-31,100261155,-0.7
2056-12-31,99547977,-0.71
2057-12-31,98829212,-0.72
2058-12-31,98103898,-0.73
2059-12-31,97371456,-0.75
2060-12-31,96631457,-0.76
2061-12-31,95885918,-0.77
2062-12-31,95135942,-0.78
2063-12-31,94381509,-0.79
2064-12-31,93622768,-0.8
2065-12-31,92862515,-0.81
2066-12-31,92104053,-0.82
2067-12-31,91348808,-0.82
2068-12-31,90601494,-0.82
2069-12-31,89863719,-0.81
2070-12-31,89136819,-0.81
2071-12-31,88424325,-0.8
2072-12-31,87727655,-0.79
2073-12-31,87048361,-0.77
2074-12-31,86388769,-0.76
2075-12-31,85749785,-0.74
2076-12-31,85129656,-0.72
2077-12-31,84529212,-0.71
2078-12-31,83948386,-0.69
2079-12-31,83384467,-0.67
2080-12-31,82836599,-0.66
2081-12-31,82305350,-0.64
2082-12-31,81787526,-0.63
2083-12-31,81280426,-0.62
2084-12-31,80784469,-0.61
2085-12-31,80297790,-0.6
2086-12-31,79817820,-0.6
2087-12-31,79344369,-0.59
2088-12-31,78877798,-0.59
2089-12-31,78416133,-0.59
2090-12-31,77959318,-0.58
2091-12-31,77507344,-0.58
2092-12-31,77059254,-0.58
2093-12-31,76615267,-0.58
2094-12-31,76175514,-0.57
2095-12-31,75741100,-0.57
2096-12-31,75310678,-0.57
2097-12-31,74884753,-0.57
2098-12-31,74465689,-0.56
2099-12-31,74051908,-0.56
2100-12-31,73644064,-0.55
